/TN0/D (Vbs=0) X,/TN0/D (Vbs=0) Y
0.7100000000000004,1.893900085897125e-05
0.7200000000000004,2.018615768793367e-05
0.7300000000000004,2.147231628649205e-05
0.7400000000000004,2.279677097014812e-05
0.7500000000000004,2.415878467491158e-05
0.7600000000000005,2.555759352596532e-05
0.7700000000000005,2.699241114203921e-05
0.7800000000000005,2.846243265598951e-05
0.7900000000000005,2.99668384394702e-05
0.8000000000000005,3.150479752679579e-05
0.8100000000000005,3.307547073976019e-05
0.8200000000000005,3.467801352102056e-05
0.8300000000000005,3.631157848846477e-05
0.8400000000000005,3.797531772663833e-05
0.8500000000000005,3.966838483378077e-05
0.8600000000000005,4.138993674437915e-05
0.8700000000000006,4.31391353475014e-05
0.8800000000000006,4.49151489207128e-05
0.8900000000000006,4.671715339829492e-05
0.9000000000000006,4.854433349098116e-05
0.9100000000000006,5.039588367269528e-05
0.9200000000000006,5.22710090479625e-05
0.9300000000000006,5.416892611191987e-05
0.9400000000000006,5.608886341322331e-05
0.9500000000000006,5.803006212873105e-05
0.9600000000000006,5.999177655762594e-05
0.9700000000000006,6.197327454163564e-05
0.9800000000000006,6.397383781721347e-05
0.9900000000000007,6.599276230490388e-05
1.000000000000001,6.802935834063327e-05
1.010000000000001,7.008295085328589e-05
1.020000000000001,7.215287949263644e-05
1.030000000000001,7.423849871147472e-05
1.040000000000001,7.633917780556957e-05
1.050000000000001,7.84543009149502e-05
1.060000000000001,8.058326698983586e-05
1.070000000000001,8.272548972438803e-05
1.080000000000001,8.488039746133037e-05
1.090000000000001,8.704743307032002e-05
1.100000000000001,8.922605380281652e-05
1.110000000000001,9.141573112603593e-05
1.120000000000001,9.361595053843318e-05
1.130000000000001,9.582621136899509e-05
1.140000000000001,9.804602656247596e-05
1.150000000000001,0.0001002749224525618
1.160000000000001,0.0001025124385247952
1.170000000000001,0.0001047581271709544
1.180000000000001,0.0001070115534364404
1.190000000000001,0.0001092722947620923
1.200000000000001,0.0001115399407217334
1.210000000000001,0.0001138140927566146
1.220000000000001,0.0001160943639078331
1.230000000000001,0.0001183803785476796
1.240000000000001,0.0001206717721107726
1.250000000000001,0.0001229681908257615
1.260000000000001,0.0001252692914482766
1.270000000000001,0.0001275747409957367
1.280000000000001,0.0001298842164845494
1.290000000000001,0.000132197404670178
1.300000000000001,0.0001345140017904801
1.310000000000001,0.0001368337133126756
1.320000000000001,0.0001391562536842453
1.330000000000001,0.0001414813460880166
1.340000000000001,0.00014380872220166
1.350000000000001,0.0001461381219617648
1.360000000000001,0.0001484692933326461
1.370000000000001,0.0001508019920799907
1.380000000000001,0.0001531359815494344
1.390000000000001,0.0001554710324501277
1.400000000000001,0.0001578069226433288
1.410000000000001,0.0001601434369360497
1.420000000000001,0.0001624803668797475
1.430000000000001,0.000164817510574059
1.440000000000001,0.0001671546724755418
1.450000000000001,0.0001694916632113914
1.460000000000001,0.0001718282993980783
1.470000000000001,0.000174164403464851
1.480000000000001,0.0001764998034820384
1.490000000000001,0.0001788343329940762
1.500000000000001,0.0001811678308571796
1.510000000000001,0.0001835001410815849
1.520000000000001,0.0001858311126782627
1.530000000000001,0.000188160599510018
1.540000000000001,0.0001904884601468871
1.550000000000001,0.0001928145577257276
1.560000000000001,0.0001951387598139184
1.570000000000001,0.0001974609382770531
1.580000000000001,0.0001997809691505519
1.590000000000001,0.0002020987325150764
1.600000000000001,0.0002044141123756562
1.610000000000001,0.0002067269965444319
1.620000000000001,0.0002090372765269125
1.630000000000001,0.0002113448474116564
1.640000000000001,0.0002136496077632826
1.650000000000001,0.0002159514595187082
1.660000000000001,0.0002182503078865357
1.670000000000001,0.0002205460612494907
1.680000000000001,0.0002228386310698165
1.690000000000001,0.0002251279317975566
1.700000000000001,0.0002274138807816186
1.710000000000001,0.0002296963981835492
1.720000000000001,0.0002319754068939403
1.730000000000001,0.0002342508324513728
1.740000000000001,0.0002365226029638416
1.750000000000001,0.0002387906490325662
1.760000000000001,0.0002410549036781247
1.770000000000001,0.0002433153022688344
1.780000000000001,0.0002455717824513175
1.790000000000001,0.0002478242840831708
1.8,0.0002500727491676854
