/TN0/D (Vbs=0) X,/TN0/D (Vbs=0) Y,/TN0/D (Vbs=0.1) X,/TN0/D (Vbs=0.1) Y,/TN0/D (Vbs=0.2) X,/TN0/D (Vbs=0.2) Y,/TN0/D (Vbs=0.3) X,/TN0/D (Vbs=0.3) Y,/TN0/D (Vbs=0.4) X,/TN0/D (Vbs=0.4) Y,/TN0/D (Vbs=0.5) X,/TN0/D (Vbs=0.5) Y
0.2700000000000001,1.408790949429018e-08,0.2700000000000001,2.531534403611049e-08,0.2700000000000001,4.64707488120087e-08,0.2700000000000001,8.702721499095508e-08,0.2700000000000001,1.655321118564052e-07,0.2700000000000001,3.168967628198083e-07
0.2800000000000001,1.830233839265342e-08,0.2800000000000001,3.27544081381859e-08,0.2800000000000001,5.978586642315686e-08,0.2800000000000001,1.110375848269146e-07,0.2800000000000001,2.086163847675737e-07,0.2800000000000001,3.924256617367598e-07
0.2900000000000001,2.376720689258957e-08,0.2900000000000001,4.23427347736498e-08,0.2900000000000001,7.679325516235818e-08,0.2900000000000001,1.412854318989005e-07,0.2900000000000001,2.618049558078188e-07,0.2900000000000001,4.832079757287326e-07
0.3000000000000001,3.084453476509249e-08,0.3000000000000001,5.467372841187203e-08,0.3000000000000001,9.843570363467405e-08,0.3000000000000001,1.791708778701443e-07,0.3000000000000001,3.269496877140973e-07,0.3000000000000001,5.913386435713832e-07
0.3100000000000001,3.999466557608304e-08,0.3100000000000001,7.048655399260829e-08,0.3100000000000001,1.258496991136407e-07,0.3100000000000001,2.263018461400745e-07,0.3100000000000001,4.060504276302903e-07,0.3100000000000001,7.189456197726998e-07
0.3200000000000001,5.17986884280187e-08,0.3200000000000001,9.069116329601531e-08,0.3200000000000001,1.603813460338822e-07,0.3200000000000001,2.844830571394388e-07,0.3200000000000001,5.012155407690637e-07,0.3200000000000001,8.681497870727129e-07
0.3300000000000001,6.698332241108165e-08,0.3300000000000001,1.16391747560991e-07,0.3300000000000001,2.035929385522672e-07,0.3300000000000001,3.556912013395569e-07,0.3300000000000001,6.146168565370263e-07,0.3300000000000001,1.041030157675616e-06
0.3400000000000001,8.644692265177306e-08,0.3400000000000001,1.489053057750619e-07,0.3400000000000001,2.572567895717839e-07,0.3400000000000001,4.420376748341749e-07,0.3400000000000001,7.484439744793682e-07,0.3400000000000001,1.239596021794016e-06
0.3500000000000001,1.112842869462238e-07,0.3500000000000001,1.897713620608924e-07,0.3500000000000001,3.233343594495677e-07,0.3500000000000001,5.457226291084428e-07,0.3500000000000001,9.048623704091521e-07,0.3500000000000001,1.465766329178073e-06
0.3600000000000002,1.428068907216441e-07,0.3600000000000002,2.407489703733426e-07,0.3600000000000002,4.039411374055321e-07,0.3600000000000002,6.689855957141204e-07,0.3600000000000002,1.085978334731742e-06,0.3600000000000002,1.721355600271515e-06
0.3700000000000002,1.825543912416154e-07,0.3700000000000002,3.037983923433996e-07,0.3700000000000002,5.013004709069463e-07,0.3700000000000002,8.140580836809452e-07,0.3700000000000002,1.293812058905398e-06,0.3700000000000002,2.008065146818884e-06
0.3800000000000002,2.322932056067751e-07,0.3800000000000002,3.810472380745124e-07,0.3800000000000002,6.176916611548582e-07,0.3800000000000002,9.831223935101872e-07,0.3800000000000002,1.530278705112822e-06,0.3800000000000002,2.32747826046973e-06
0.3900000000000002,2.93999131585962e-07,0.3900000000000002,4.74743854138485e-07,0.3900000000000002,7.553983676993547e-07,0.3900000000000002,1.17827902339284e-06,0.3900000000000002,1.797176338220451e-06,0.3900000000000002,2.681058158514903e-06
0.4000000000000002,3.698234357588686e-07,0.4000000000000002,5.872033093897908e-07,0.4000000000000002,9.166625259723164e-07,0.4000000000000002,1.401523169022207e-06,0.4000000000000002,2.096179191376536e-06,0.4000000000000002,3.070147722055812e-06
0.4100000000000002,4.62045041928189e-07,0.4100000000000002,7.207524987536199e-07,0.4100000000000002,1.103647074719646e-06,0.4100000000000002,1.654729436206041e-06,0.4100000000000002,2.428834739294293e-06,0.4100000000000002,3.495970328186304e-06
0.4200000000000002,5.730143301596084e-07,0.4200000000000002,8.77680295234798e-07,0.4200000000000002,1.31840862539695e-06,0.4200000000000002,1.939643158629857e-06,0.4200000000000002,2.796563286137893e-06,0.4200000000000002,3.959631312254125e-06
